City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,labuan,5.2767,115.2417,33.2,55,20,2.57,MY,1712807590
351,sur,22.5667,59.5289,30.37,46,88,0.89,OM,1712807591
352,ocotlan de morelos,16.8,-96.6667,21.94,60,97,1.97,MX,1712807593
353,portland,45.5234,-122.6762,15.32,61,100,0.45,US,1712807431
354,kidatu,-7.6992,36.9572,23.2,94,95,0.78,TZ,1712807595
355,riyadh,24.6877,46.7219,19.08,57,95,3.83,SA,1712807447
356,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.98,PT,1712807597
357,belmonte,-15.8631,-38.8828,24.69,89,12,0.17,BR,1712807598
358,zhaotong,27.3167,103.7167,19.35,44,5,1.84,CN,1712807600
359,tamiahua,21.2667,-97.45,21.2,62,37,3.03,MX,1712807601
